id,dia_da_semana,horario_de_pico,operacao_normal,estacao_de_entrada,sentido,esta_chovendo,lotacao_1_min_5_max,linha_8,linha_9
1,Domingo,Sim,Sim,Jandira,Palmeiras Barra Funda,Não,4,11.0,0.0
2,Sexta,Sim,Sim,Barueri,Palmeiras Barra Funda,Não,5,12.0,0.0
3,Segunda,Não,Sim,Antônio João,Palmeiras Barra Funda,Não,1,4.0,0.0
4,Domingo,Não,Sim,Jardim Silveira,Itapevi,Não,3,7.0,0.0
5,Domingo,Sim,Sim,Santa Rita,Itapevi,Sim,4,12.0,0.0
6,Sábado,Não,Sim,Santa Terezinha,Palmeiras Barra Funda,Sim,1,5.0,0.0
7,Segunda,Sim,Sim,Gen. Miguel Costa,Palmeiras Barra Funda,Não,3,13.0,0.0
8,Terça,Sim,Sim,Imperatriz Leopoldina,Itapevi,Não,5,10.0,0.0
9,Domingo,Sim,Sim,Carapicuíba,Palmeiras Barra Funda,Não,5,9.0,0.0
10,Sábado,Sim,Não,Barueri,Itapevi,Não,3,11.0,0.0
11,Domingo,Sim,Não,Antônio João,Itapevi,Não,4,9.0,0.0
12,Domingo,Sim,Sim,Osasco,Itapevi,Não,4,11.0,0.0
13,Segunda,Não,Sim,Eng. Cardoso,Palmeiras Barra Funda,Não,2,8.0,0.0
14,Domingo,Sim,Não,Lapa,Itapevi,Não,3,9.0,0.0
15,Terça,Sim,Sim,Barueri,Itapevi,Não,5,12.0,0.0
16,Domingo,Sim,Sim,Sagrado Coração,Itapevi,Não,5,12.0,0.0
17,Terça,Sim,Não,Palmeiras Barra Funda,Palmeiras Barra Funda,Não,5,9.0,0.0
18,Segunda,Sim,Não,Amador Bueno,Palmeiras Barra Funda,Não,5,11.0,0.0
19,Domingo,Sim,Sim,Santa Rita,Palmeiras Barra Funda,Não,4,9.0,0.0
20,Quarta,Sim,Sim,Santa Terezinha,Palmeiras Barra Funda,Não,4,11.0,0.0
21,Quarta,Sim,Sim,Amador Bueno,Palmeiras Barra Funda,Não,4,12.0,0.0
22,Segunda,Sim,Sim,Com. Sampaio,Palmeiras Barra Funda,Não,5,13.0,0.0
23,Quinta,Sim,Sim,Com. Sampaio,Palmeiras Barra Funda,Não,5,11.0,0.0
24,Sábado,Sim,Sim,Palmeiras Barra Funda,Palmeiras Barra Funda,Não,4,12.0,0.0
25,Domingo,Sim,Não,Jardim Belval,Palmeiras Barra Funda,Sim,3,9.0,0.0
26,Quarta,Sim,Sim,Itapevi,Palmeiras Barra Funda,Não,4,13.0,0.0
27,Sábado,Sim,Sim,Pres. Altino,Palmeiras Barra Funda,Não,5,9.0,0.0
28,Quarta,Sim,Sim,Imperatriz Leopoldina,Itapevi,Não,4,11.0,0.0
29,Sábado,Sim,Sim,Imperatriz Leopoldina,Itapevi,Não,5,14.0,0.0
30,Domingo,Sim,Sim,Jandira,Itapevi,Sim,5,15.0,0.0
31,Domingo,Sim,Sim,Amador Bueno,Palmeiras Barra Funda,Sim,5,10.0,0.0
32,Quinta,Não,Sim,Osasco,Itapevi,Não,2,7.0,0.0
33,Sexta,Sim,Sim,Pres. Altino,Itapevi,Não,3,12.0,0.0
34,Quarta,Sim,Sim,Lapa,Itapevi,Não,5,10.0,0.0
35,Sábado,Sim,Sim,Domingo de Moraes,Itapevi,Não,3,13.0,0.0
36,Quinta,Sim,Sim,Osasco,Itapevi,Sim,3,10.0,0.0
37,Sábado,Sim,Sim,Itapevi,Palmeiras Barra Funda,Sim,4,12.0,0.0
38,Sexta,Não,Sim,Jardim Silveira,Itapevi,Não,2,3.0,0.0
39,Segunda,Sim,Sim,Osasco,Palmeiras Barra Funda,Não,4,14.0,0.0
40,Terça,Não,Sim,Gen. Miguel Costa,Itapevi,Não,2,3.0,0.0
41,Terça,Sim,Sim,Imperatriz Leopoldina,Palmeiras Barra Funda,Não,5,9.0,0.0
